AL	AR	AT	AU	BD	BG	BO	BR	BY	CA	CH	CL	CN	CO	DE	DK	EC	ES	FI	FJ	FR	GB	GF	GR	HK	ID	IN	IS	IT	JP	KH	KR	LA	LK	LV	MD	MM	MY	NL	NO	NP	NZ	PE	PH	PT	PY	RO	RS	SE	SG	TH	TW	UA	US	UY	VE	VN
 1396.5037	11575.2664	  859.4799	15994.8199	 8015.3665	 1847.4597	 9831.3380	 8514.5745	 1995.4945	 6948.1640	  376.0677	11465.7783	 8847.9009	 8510.4113	  779.9046	 1290.8385	 9557.6126	 1069.7368	 2350.8031	16890.7512	    0.0000	  927.8282	 7007.6115	 1980.1140	 9741.0003	11857.4158	 7333.2150	 2610.0465	  767.9252	 9797.1807	 9862.9955	 9416.5184	 9290.3389	 8395.5205	 1908.9066	 1970.6844	 8627.9467	10808.1003	  700.8695	 2017.9462	 7268.1594	19095.5093	 9890.0279	11370.3702	 1809.0095	 9975.9677	 1633.5923	 1387.7879	 1829.5790	10731.2255	 9512.7639	10042.7345	 2195.6379	 7708.1687	10708.7105	 7628.0053	 9869.8080
 2091.5054	11825.4634	 1317.9986	16056.1655	 8174.2177	 2391.3298	 9871.3429	 8790.8440	 2003.4291	 6095.8115	  995.2452	11598.5930	 8693.0354	 8179.3961	  854.1712	  894.2933	 9280.2259	 1667.0978	 1911.9183	16107.2346	  927.8282	    0.0000	 7012.4613	 2680.1469	 9654.7029	12026.8279	 7657.8676	 1686.3656	 1571.2909	 9352.1346	 9990.4604	 9054.1319	 9382.4138	 8855.9749	 1729.9777	 2318.9264	 8772.9655	10970.1248	  528.3769	 1366.0692	 7444.8431	18686.0534	 9745.5799	11283.8931	 1988.8752	10191.5070	 2097.6211	 1979.4852	 1393.0065	10975.3513	 9676.4664	 9862.9402	 2472.1854	 6928.3089	11029.5470	 7384.6213	 9930.0012
 8165.7171	 4987.0772	 7865.7449	16972.6389	14970.4272	 8718.3861	 2858.9235	 2423.7215	 8947.8843	 6427.5351	 7383.2695	 4615.1252	15651.2933	 2572.0327	 7672.2313	 7906.2246	 3059.3491	 6047.8557	 8869.9581	14419.2601	 7007.6115	 7012.4613	    0.0000	 8587.4430	16654.6744	18475.3458	14055.3207	 7000.9526	 7571.1594	15420.1370	16805.6742	15513.5740	16279.8192	14555.2489	 8734.5016	 8958.7598	15583.3103	17628.5648	 7398.9737	 8211.9501	14222.4598	13935.6629	 2984.2433	18251.5108	 5198.8204	 3388.3685	 8589.5818	 8280.9316	 8385.8761	17304.1893	16415.0091	16740.3981	 9196.7178	 5727.4302	 4426.7446	 1643.4564	16871.4261
  593.6679	12558.5227	 1377.6353	14228.3696	 6387.7604	  536.4302	11260.6258	 9615.2074	 1770.9175	 8743.0611	 1718.6924	12671.4181	 7665.4826	10384.5456	 1882.2254	 2296.5045	11373.6300	 2621.3770	 2752.8554	16507.0654	 1980.1140	 2680.1469	 8587.4430	    0.0000	 8401.1853	10117.0733	 5530.1035	 4242.4171	 1216.1576	 9139.0916	 8218.7347	 8601.1006	 7708.2451	 6465.9776	 2096.4868	 1031.8605	 6998.2246	 9099.6811	 2171.8990	 2945.9516	 5643.8984	17296.4552	11561.7683	 9963.2940	 3571.8047	11111.8193	  818.6459	  727.4855	 2499.4088	 8941.0669	 7834.6747	 8844.0565	 1238.9054	 9608.3859	11603.6337	 9447.0335	 8311.0832
 8724.5523	18235.7316	 8896.5448	 6407.9869	 2311.2914	 8163.5296	19450.4382	17884.8959	 7761.0024	11530.9814	 9366.1731	18767.1210	 1042.5784	16514.1657	 9035.1444	 8763.5035	17335.3735	10760.3824	 7785.2623	 8222.9034	 9741.0003	 9654.7029	16654.6744	 8401.1853	    0.0000	 2845.4526	 3555.2080	 9713.0246	 9262.3873	 2594.7516	 1490.1333	 2011.5568	 1276.7964	 4012.0237	 7944.4628	 7849.3530	 1870.3095	 2085.4050	 9291.6545	 8443.1937	 2931.4602	 9355.9326	18351.3804	 1633.6206	11531.3762	19088.5943	 8236.3068	 8566.8874	 8273.5353	 2563.7853	 1725.6561	  697.9277	 7596.6201	12628.5264	18281.9520	16420.5330	 1027.7719
10591.2963	15390.6762	11003.5279	 4142.0196	 3858.2231	10058.2126	17744.5115	16972.1716	10028.5479	14179.7686	11490.3586	15991.2601	 3874.9176	18879.5156	11275.5235	11144.5985	18482.4217	12723.5966	10298.3035	 7111.7619	11857.4158	12026.8279	18475.3458	10117.0733	 2845.4526	    0.0000	 4588.0375	12415.4297	11216.6599	 4915.1855	 2041.1578	 4576.9134	 2666.0431	 3939.5393	10305.3086	 9887.2789	 3254.5771	 1057.0576	11577.5390	10987.1155	 4598.2245	 7267.5760	18268.5172	 1816.2327	13640.5678	16713.3283	10230.3159	10512.0834	10727.4793	 1206.5995	 2354.0289	 3103.9902	 9670.4293	15128.7916	15631.0187	19265.9610	 2179.3475
 6018.1140	16137.5520	 6499.7934	 8707.5556	 1263.1078	 5499.7497	16361.5312	14357.4325	 5681.0813	12248.5005	 6979.7466	16831.3847	 3441.4780	15830.0650	 6839.0941	 6835.5852	16888.6756	 8143.9694	 6231.1954	11492.1730	 7333.2150	 7657.8676	14055.3207	 5530.1035	 3555.2080	 4588.0375	    0.0000	 8525.8184	 6653.3465	 5683.1959	 2792.4243	 4969.4129	 2434.7017	 1499.3609	 6032.2276	 5388.0524	 1716.4448	 3587.0371	 7160.1300	 6905.7087	  981.7860	11821.3618	17031.8898	 4764.1110	 9077.1033	15609.5188	 5700.5323	 5958.9082	 6534.4960	 3414.0246	 2380.4882	 4220.0465	 5199.4972	13468.2998	15362.5018	14956.7686	 3016.8760
 3681.5278	11987.8958	 2872.8382	15886.6066	 8743.1947	 3853.8951	 9756.0642	 9162.8721	 3017.1160	 4508.8201	 2658.2026	11556.8545	 8679.1695	 7488.2326	 2365.6893	 1989.1328	 8630.9412	 3113.6590	 2295.6022	14658.5371	 2610.0465	 1686.3656	 7000.9526	 4242.4171	 9713.0246	12415.4297	 8525.8184	    0.0000	 3234.9296	 8755.9951	10412.6685	 8631.9803	 9773.4963	 9893.7071	 2605.4340	 3621.2897	 9287.5265	11403.2238	 2108.4190	 1638.2422	 8082.3669	17291.6561	 9307.8842	11253.3130	 2957.3204	10378.6228	 3530.4013	 3515.5275	 2065.2314	11554.3325	10178.1197	 9739.7465	 3679.7760	 5460.8496	11369.2496	 6897.2515	10236.2264
  646.4000	11920.6439	  569.7351	15356.1283	 7409.6629	 1158.4919	10344.2687	 8881.0493	 1716.0154	 7663.3944	  577.9695	11898.6982	 8426.6649	 9214.4031	  954.8748	 1518.6035	10236.0452	 1523.3968	 2391.2569	16930.5436	  767.9252	 1571.2909	 7571.1594	 1216.1576	 9262.3873	11216.6599	 6653.3465	 3234.9296	    0.0000	 9595.2009	 9258.0325	 9147.6332	 8709.1484	 7661.6673	 1801.3880	 1413.5057	 8024.1198	10178.5823	 1135.0052	 2281.5236	 6660.0777	18473.9006	10505.7798	10873.6569	 2425.6153	10368.7889	 1026.9570	  710.0321	 1946.9266	10065.0605	 8892.1464	 9624.1780	 1669.6418	 8458.8129	11010.4822	 8304.1067	 9301.0302
 9242.1530	18119.4271	 9085.9872	 7138.5183	 4456.0317	 8731.4922	17046.7249	17828.7635	 7885.9515	 9265.6042	 9465.2164	17526.2634	 2250.2689	14164.9705	 9017.6270	 8564.4060	14797.3215	10861.5961	 7480.5360	 7400.3428	 9797.1807	 9352.1346	15420.1370	 9139.0916	 2594.7516	 4915.1855	 5683.1959	 8755.9951	 9595.2009	    0.0000	 4080.8111	  714.5400	 3816.8353	 6493.4157	 7893.0796	 8285.6542	 4238.9410	 4497.0280	 9171.1462	 7989.4058	 4798.8351	 9395.7973	15788.5409	 3121.7352	11336.0754	18288.6727	 8670.6156	 9013.0398	 8014.3214	 5043.3630	 4311.8080	 1981.4904	 8024.4515	10244.2023	18995.4388	14414.5976	 3615.5314
