taxa	samplingDate	samplingCountry
hCoV-19/Portugal/PT1733/2020|EPI_ISL_693656|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1563/2020|EPI_ISL_765219|Portugal|2020-06-27	2020.4863387978141	Portugal
hCoV-19/Portugal/PT1568/2020|EPI_ISL_765220|Portugal|2020-06-28	2020.4890710382513	Portugal
hCoV-19/Portugal/PT1600/2020|EPI_ISL_765221|Portugal|2020-07-04	2020.5054644808743	Portugal
hCoV-19/Belgium/rega-0418422/2020|EPI_ISL_476990|Belgium|2020-04-18	2020.295081967213	Belgium
hCoV-19/Belgium/20A49/2020|EPI_ISL_452151|Belgium|2020-04-14	2020.2841530054645	Belgium
hCoV-19/Belgium/20A55/2020|EPI_ISL_452152|Belgium|2020-04-20	2020.3005464480875	Belgium
hCoV-19/Belgium/RM-0330304/2020|EPI_ISL_462158|Belgium|2020-03-30	2020.2431693989072	Belgium
hCoV-19/Belgium/LJ-0328310/2020|EPI_ISL_462164|Belgium|2020-03-28	2020.2377049180327	Belgium
hCoV-19/Belgium/FA-0328311/2020|EPI_ISL_462165|Belgium|2020-03-28	2020.2377049180327	Belgium
hCoV-19/Belgium/CFM-0328312/2020|EPI_ISL_462166|Belgium|2020-03-28	2020.2377049180327	Belgium
hCoV-19/Belgium/JBE-0317326/2020|EPI_ISL_462180|Belgium|2020-03-17	2020.207650273224	Belgium
hCoV-19/Belgium/HMM-0317327/2020|EPI_ISL_462181|Belgium|2020-03-17	2020.207650273224	Belgium
hCoV-19/Belgium/HMJ-0330330/2020|EPI_ISL_462184|Belgium|2020-03-30	2020.2431693989072	Belgium
hCoV-19/Belgium/BA-0330335/2020|EPI_ISL_462189|Belgium|2020-03-30	2020.2431693989072	Belgium
hCoV-19/Belgium/UGent-93/2020|EPI_ISL_468741|Belgium|2020-03-13	2020.1967213114754	Belgium
hCoV-19/Belgium/UGent-105/2020|EPI_ISL_475065|Belgium|2020-03-18	2020.2103825136612	Belgium
hCoV-19/Belgium/rega-0505486/2020|EPI_ISL_477003|Belgium|2020-05-05	2020.3415300546449	Belgium
hCoV-19/Belgium/rega-0501480/2020|EPI_ISL_476996|Belgium|2020-05-01	2020.3306010928961	Belgium
